ISBN;title;author;year;publisher
27495108;Apt. 3;Ezra Jack Keats;1983;MacMillan Publishing Company.
27507602;The Griffin Legacy;Jan O'Donnell Klaveness;1983;"Simon &amp; Schuster Merchandise &amp;"
27508250;Sherman the Sheep;Kevin Kiser;1994;"Simon &amp; Schuster"
27511650;Masai and I;Virginia Kroll;1992;"Simon &amp; Schuster Children's Publishing"
27512355;Going to My Ballet Class;Susan Kuklin;1990;Bradbury Press
27516601;Puppeteer;Kathryn Lasky;1985;"Simon &amp; Schuster (J)"
27563405;When Grownups Drive You Crazy;Eda Leshan;1988;"Simon &amp; Schuster Children's Publishing"
27573400;The sword of Culann;Betty Levin;1973;Macmillan
27582000;The Lion, the Witch and the Wardrobe;C. S. Lewis;1983;MacMillan Publishing Company.
27583600;The Magician's Nephew;C. S. Lewis;1969;MacMillan Publishing Company.
27587703;Silver Chair;C. S. Lewis;1953;Simon Schuster Trade
27587800;The Silver Chair;C. S. Lewis;1988;MacMillan Publishing Company.
27588009;Voyage of the Dawn Treader;C. S. Lewis;1952;MacMillan Publishing Company.
27588203;Voyage of the Dawn Treader;C. S. Lewis;1988;MacMillan Publishing Company.
27594556;The Call of the Wild;Jack London;1994;"Simon &amp; Schuster Children's Publishing"
27595102;The CALL OF THE WILD;Jack London;1970;"Simon &amp; Schuster Children's Publishing"
27613658;Willy Whyner, Cloud Designer;Michael Lustig;1994;"Simon &amp; Schuster"
27614204;Pilot for Spaceship Earth: R. Buckminster Fuller, Architect, Inventor, and Poet;Athena V. Lord;1978;Athena V Lord
27615618;MACMILLAN DICTIONARY FOR CHILDREN, REVISED;Judith Levey;1989;"Simon &amp; Schuster Children's Publishing"
27617300;MACMILLAN VERY FIRST DICTIONARY: MAGIC WORLD OF WORDS;David Prebenna;1983;MacMillan Publishing Company.
27617319;Macmillan First Dictionary;Judith S. Levey;1990;"Simon &amp; Schuster Children's Publishing"
27624404;The DRAGON NANNY;C.G.L. Martin;1988;Atheneum
27627403;The Box of Delights: When the Wolves Were Running;John Masefield;1984;"Simon &amp; Schuster Merchandise &amp;"
27653668;JESSIES JOURNEY;Angela McAllister;1992;"Simon &amp; Schuster Children's Publishing"
27655806;Lake Fear (Microdkid Mystery);Ian McMahan;1985;"Simon &amp; Schuster Merchandise &amp;"
27657108;Night Dive;Ann McGovern;1984;MacMillan Publishing Company.
27690105;SAY GOOD NIGHT 1ST AMERICAN EDITION;Helen Oxenbury;1987;Little Simon
27690202;TICKLE TICKLE (HELEN OXENBURY BOARD BOOKS);Helen Oxenbury;1987;Little Simon
27698009;MISTER ADAMS MISTAKE (Ready-to-Read);Peggy Parish;1982;"Simon &amp; Schuster Children's Publishing"
27700259;Tom Foolery;Curtis Parkinson;1993;"Simon &amp; Schuster"
27701301;Hatchet;Gary Paulsen;1987;Atheneum/Richard Jackson Books
27731901;Dear Miss Moshki;Crescent Dragonwagon;1986;"Simon &amp; Schuster"
27744116;Wempires;Daniel Pinkwater;1991;MacMillan Publishing Company.
27746054;HAUNTED YEAR, A;Ann Phillips;1994;"Simon &amp; Schuster Children's Publishing"
27746356;Doodle Flute;Daniel Pinkwater;1991;MacMillan Publishing Company.
27746550;TOOTH - GNASHER SUPERFLASH;Daniel Pinkwater;1990;Atheneum
27747417;HERES THAT KITTEN;Maria Polushkin;1990;"Simon &amp; Schuster Children's Publishing"
27751708;The satanic mill;Otfried Preussler;1973;Macmillan
27753115;JESSE BUILDS A ROAD;Laurence Pringle;1989;Atheneum
27754006;WATER THE NEXT GREAT RESOURCE BATTLE (Science for Survival Series);Laurence Pringle;1982;Atheneum
27754103;Lives at Stake: The Science and Politics of Environmental Health (Science for Survival Series);Laurence P. Pringle;1980;"Simon &amp; Schuster Merchandise &amp;"
27754510;Mrs. Toggle's Zipper;Robin Pulver;1990;"Simon &amp; Schuster"
27756610;Bethie;Ann Rabinowitz;1989;"Simon &amp; Schuster"
27757315;I HAD A CAT;Thomas Reeves;1989;"Simon &amp; Schuster Children's Publishing"
27772403;A Fine White Dust;Cynthia Rylant;1986;Atheneum/Richard Jackson Books
27775607;The Story Snail (Ready-to-Read);Anne F. Rockwell;1974;"Simon &amp; Schuster (J)"
27775801;The SUPERMARKET;Anne F. Rockwell;1979;"Simon &amp; Schuster Children's Publishing"
27775909;Look at this (Ready-to-read handbook);Harlow Rockwell;1978;Macmillan
27776905;My Back Yard (Rockwell, Anne F. My World.);Anne F. Rockwell;1984;"Simon &amp; Schuster (J)"
27778800;Me and My Kitty;Nicole Rubel;1983;"Simon &amp; Schuster (J)"
27780260;Everyday Town;Cynthia Rylant;1993;Little Simon
27810739;BRAVE JACK;Dave Saunders;1993;"Simon &amp; Schuster Children's Publishing"
27811700;City green;Eleanor Schick;1974;Macmillan
27823202;The Lancelot Closes at Five;Marjorie Weinman Sharmat;1976;"Simon &amp; Schuster Merchandise &amp;"
27824500;Gila Monsters Meet You At the Airport;Marjorie Weinman Sharmat;1980;"Simon &amp; Schuster Children's Publishing"
27824721;MY DOG  (FIRST AMERICAN EDITION);Judy Taylor;1988;"Simon &amp; Schuster Children's Publishing"
27826902;Who Wants a Cheap Rhinoceros?;Shel Silverstein;1983;"Simon &amp; Schuster Children's Publishing"
27859002;The changing maze;Zilpha Keatley Snyder;1985;Collier Macmillan
27860159;Somebody Loves You, Mr. Hatch;Eileen Spinelli;1991;"Simon &amp; Schuster Children's Publishing"
27860302;CALL IT COURAGE;Armstrong Sperry;1968;"Simon &amp; Schuster Children's Publishing"
27862704;The AMAZING POWER OF ASHUR FINE;Donald J. Sobol;1986;"Simon &amp; Schuster Children's Publishing"
27887901;Benjamin Franklin: An Autobiographical Portrait;Benjamin Franklin;1969;"Simon &amp; Schuster Merchandise &amp;"
27888304;The Moon Lady;Amy Tan;1992;"Simon &amp; Schuster Children's Publishing"
27888355;The Chinese Siamese Cat;Amy Tan;1994;"Simon &amp; Schuster Children's Publishing"
27888452;Coyote Places the Stars;Harriet Peck Taylor;1993;"Simon &amp; Schuster Children's Publishing"
27894010;The Tzar's Bird;Ann Tompert;1990;"Simon &amp; Schuster"
27912906;Harry and Shellburt (Ready-to-Read);Dorothy Van Woerkom;1977;MacMillan Publishing Company.
27916405;Twenty Thousand Leagues under the Sea;Jules Verne;1962;"Simon &amp; Schuster Adult Publishing Group"
27925269;My Brother, My Sister, and I;Yoko Kawashima Watkins;1994;"Simon &amp; Schuster Children's Publishing"
27926117;Boat Song;Frances Ward Weller;1987;"Simon &amp; Schuster Merchandise &amp;"
27936228;Roses Sing on New Snow: A Delicious Tale;Paul Yee;1992;"Simon &amp; Schuster"
28025008;The Pipe Fiter's and Pipe Welder's Handbook;Thomas W. Frankland;1984;Glencoe/MacMillan McGraw Hill
28028821;Microsoft Windows 95: A Tutorial to Accompany Peter Norton's Introduction to Computers;Bob Goldhamer;1999;McGraw-Hill Companies
28049217;Word 2000 Level 1 Core : A Tutorial to Accompany Peter Norton Introduction to Computers Student Edition (Tutorial S.);Peter  Norton;1999;McGraw-Hill Technology Education
28055896;A Professional Approach Series : Access 2000 Levels 1 and 2 Core and Expert Student Edition;Kathleen  Stewart;1999;McGraw-Hill Technology Education
28181484;Writer's Choice Â© 2001 Grade 7 Student Edition : Grammar and Composition;Royster;2000;Glencoe/McGraw-Hill
28199227;Gregg Reference Manual 7ED;William A. Sabin;1992;Macmillan Mcgraw-hill
28233220;America Is;Drew;1991;Glencoe/McGraw-Hill
28252187;Mathematics: Applications and Connections, Course 3;Not Applicable (Na );1998;Glencoe/McGraw-Hill
28277775;Life Science;Lucy Daniel;1999;Glencoe/McGraw-Hill
28280652;Science Interactions Course 1;Albridge;1998;Glencoe/McGraw-Hill
28461800;DIALOGUE CONCERNING NATURAL RELIGION (Hafner Library of Classics);David Hume;1970;Free Press
28471407;ESSAYS IN PRAGMATISM (Hafner Library of Classics);William James;1970;Free Press
28600037;Your Child's Emotional Health: Adolescence;Jack Maguire;1995;Macmillan General Reference
28600061;Aviation: A Smithsonian Guide (Smithsonian Guides Series);Donald S. Lopez;1995;MacMillan Publishing Company.
28600266;Get the Facts on Anyone (2nd ed);Dennis King;1995;"John Wiley &amp; Sons"
28600428;Legal Briefs;Michael D. Shook;1995;"John Wiley &amp; Sons Inc"
28600819;The Weight Watchers Complete Exercise Book;Judith Zimmer;1995;"John Wiley &amp; Sons Inc"
28601467;California and Nevada (America on Wheels);David Prebenna;1995;"John Wiley &amp; Sons"
28603400;Arco Gre With Computer Adaptive Tests on Disk User's Manual: Graduate Record Examination (Arco Master the GRE CAT (W/CD));Thomas H. Martinson;1996;Petersons Guides
28603516;Weight Watchers Quick Meals (Weight Watchers);Weight Watchers;1995;MacMillan Publishing Company.
28603702;The High-Performance Cookbook: 150 High-Carb Recipes for Peak Performance;Susan M. Kleiner;1995;Macmillan General Reference
28603753;Caviar;Natalie Rebeiz-Nelsen;1995;MacMillan Publishing Company.
28603788;Burpee Complete Gardener  : A Comprehensive, Up-To-Date, Fully Illustrated Reference For Gardeners At all Levels (Burpee);Allan  Armitage;1995;"John Wiley &amp; Sons"
28603869;Vegetarian Times : Vegetarian Beginner's Guide;Editors of Vegetarians Times;1996;"John Wiley &amp; Sons"
28603885;Betty Crocker's New Low-Fat, Low-Cholesterol Cookbook (Betty Crocker Home Library);The Betty Crocker Editors;1996;"John Wiley &amp; Sons"
28603923;Weight Watchers Success Every Day;Weight Watchers;1996;MacMillan Publishing Company.
28603958;Betty Crocker's New Cookbook: Everything You Need to Know to Cook (8th ed);Betty Crocker;1996;MacMillan Publishing Company.
28604032;The New York Public Library Science Desk Reference (The New York Public Library Series);Patricia Barnes-Svarney;1995;MacMillan Publishing Company.
28604067;Zoo Animals: A Smithsonian Guide (Smithsonian Guides);Michael H. Robinson;1995;"John Wiley &amp; Sons Inc"
28604105;How to Solve a Murder: The Forensic Handbook;Michael Kurland;1995;MacMillan Publishing Company.
28604156;8 Weeks to a Well-Behaved Child: A Failsafe Program for Toddlers Through Teens;James Windell;1995;MacMillan Publishing Company.
28604199;Once upon a More Enlightened Time: More Politically Correct Bedtime Stories;James Finn Garner;1995;MacMillan Publishing Company.
28604202;Politically Correct Holiday Stories: For an Enlightened Yuletide Season;James Finn Garner;1995;"John Wiley &amp; Sons Inc"
28604261;Over the Edge: A Regular Guy's Odyssey in Extreme Sports;Michael Bane;1996;Macmillan General Reference
28604342;Dinosaur!: The Definitive Account of the 'Terrible Lizards'- From Their First Days on Earth to Their Disappearance 65 Million Years Ago (Macmillan Reference Books.);David Norman;1995;"John Wiley &amp; Sons Inc"
28604385;Traveling: Three Months on the Nba Road;John E. Nordahl;1995;MacMillan Publishing Company.
28604458;The Love Book;Robert Rosenheck;1995;Hungry Minds, Inc
28604474;The Healthy Heart Walking Book: The American Heart Association Walking Program;Macmillan General Reference;1995;MacMillan Publishing Company.
28604563;Baedeker Australia (Baedeker's Travel Guides);Printing;1995;Macmillan General Reference
28604695;Frommer's Walking Tours: Paris (2nd Edition);Lisa Legarde;1995;"John Wiley &amp; Sons Inc"
28604792;Baedeker: Scotland (1st ed);Printing;1996;Macmillan General Reference
28604954;The Unofficial Guide to Cruises (Unofficial Guides);Kay Showker;1995;Macmillan General Reference
28604997;Frommer's 96: Mexico (Frommer's Comprehensive Travel Guides);Marita Adair;1995;"John Wiley &amp; Sons"
28606175;Arco 10 Minute Guide to Upping Your Sat Scores (10 Minute Guides);Lisa Bartl;1996;Petersons
28606353;Frommer's 96 Frugal Traveler's Guides: Europe from $50 a Day (Serial);Alice Garrard;1995;"John Wiley &amp; Sons"
28606612;"Best Beach Vacations: The Carolinas &amp; Georgia (Frommer's Best Beach Vacations)";Lan Sluder;1996;"John Wiley &amp; Sons Inc"
28606736;Baedeker New York (Baedeker's City Guides);Rainer Eisenschmid;1996;Macmillan General Reference
28607163;Frommer's Israel from $45 a Day (16th Ed.);Robert Ullian;1996;"John Wiley &amp; Sons"
28608127;The Macmillan World Atlas (Serial);Literary Guild;1995;Macmillan General Reference
28608364;Jimi Hendrix: The Ultimate Experience;Adrian Boot;1995;Macmillan General Reference
28608380;Is Your Cat Crazy? Solutions from the Casebook of a Cat Therapist;John C. Wright;1996;Howell Book House
28608437;Selling Out: If Famous Authors Wrote Advertising;Joey Green;1996;"John Wiley &amp; Sons Inc"
28608488;The Baseball Fan's Companion : How to Master the Subtleties of the World's Most Complex Team Sport and Learn to Watch the Game Like an Expert;Nick  Bakalar;1996;"John Wiley &amp; Sons"
28608763;Frommer's 96 Boston (Serial);Lisa Legarde;1996;"John Wiley &amp; Sons"
28608828;Frommer's Irreverent Guide : Amsterdam;David Downie;1996;"John Wiley &amp; Sons"
28608836;Frommer's Irreverent Guide: Santa Fe;John Villani;1996;"John Wiley &amp; Sons Inc"
28608852;Frommer's Irreverent Guide: Boston;Jeanne Cooper;1996;"John Wiley &amp; Sons Inc"
28609131;Frommer's Puerto Rico (3rd ed);Darwin Porter;1996;"John Wiley &amp; Sons Inc"
28609166;Frommer's Italy from $50 a Day, 1st Ed.;Stephen Brewer;1997;"John Wiley &amp; Sons Inc"
28609204;Frommer's Colorado (4th ed);Barbara Laine;1997;MacMillan Publishing Company.
28609212;"Frommer's Denver, Boulder &amp; Colorado Springs (4th ed)";Don Laine;1996;"John Wiley &amp; Sons"
28609220;Frommer's 97 Frugal Traveler's Guides: Washington, D. C. from $50 a Day (Serial);Rena Bulkin;1997;"John Wiley &amp; Sons Inc"
28609867;Weight Watchers 101 Secrets for Success: Weight Loss Tips from Weight Watchers Leaders, Staff and Members;Weight Watchers;1995;MacMillan Publishing Company.
28609905;People with Dirty Hands : The Passion for Gardening;Robin  Chotzinoff;1996;"John Wiley &amp; Sons"
28609956;America's Garden Book;Louise  Bush-Brown;1996;"John Wiley &amp; Sons"
28609972;The 15-Minute Single Gourmet: 100 Deliciously Simple Recipes for One;Paulette Mitchell;1996;"John Wiley &amp; Sons Inc"
28609980;Memories of a Cuban Kitchen : More Than 200 Classic Recipes;Mary Urrutia  Randelman;1996;"John Wiley &amp; Sons"
28610083;El Cocodrilo's Cookbook: Over 100 High-Flavor Recipes Fused With a Caribbean and Latin American Kick;Marie Perucca-Ramirez;1996;MacMillan Publishing Company.
28610105;How to Cook Everything: Simple Recipes for Great Food;Mark  Bittman;1998;"John Wiley &amp; Sons"
28610156;Weight Watchers New 365 Day Menu Cookbook: Complete Meals for Every Day of the Year;Weight Watchers;1996;MacMillan Publishing Company.
28610407;The Complete Idiot's Guide to Learning Spanish on Your Own (Complete Idiot's Guides);Gail Stein;1996;Macmillan Distribution
28610415;The Complete Idiot's Guide to Trouble-Free Car Care (First Edition);Dan Ramsey;1996;Macmillan Distribution
28610520;The Complete Idiot's Guide to Dating (Complete Idiot's Guide to);Judy, Dr Kuriansky;1996;Macmillan Distribution
28610687;College Survival (4th ed);Greg Gottesman;1996;"John Wiley &amp; Sons"
28610741;Sat Power (Cambridge Review);Cambridge University Press;1996;Petersons Guides
28610865;The Complete Idiot's Guide to Managing Stress (Complete Idiot's Guide);Jeff Davidson;1996;Macmillan Distribution
28610873;The Complete Idiot's Guide to a Healthy Relationship;Judith Kuriansky;1997;Alpha Books
28610881;The Complete Idiot's Guide to Decorating Your Home (Complete Idiots Guide);Mary Ann Young;1997;Alpha Books
28610903;The Complete Idiot's Guide to Organizing Your Life (Complete Idiots Guide);Georgene Lockwood;1997;Alpha Books
28610954;The Complete Idiot's Guide to Entertaining (Complete Idiot's Guide);Holly Collins;1996;Macmillan Distribution
28610989;The Complete Idiot's Guide to Choosing, Training and Raising a Dog (Complete Idiots Guide);Sarah Hodgson;1996;Macmillan Distribution
28611276;Frommer's Los Angeles by Night;Jeff Spurrier;1996;"John Wiley &amp; Sons Inc"
28611365;Frommer's Florida from $50 a Day (1st Ed.);Bill Goodwin;1996;"John Wiley &amp; Sons Inc"
28611438;Frommer's Mexico from $35 a Day (Frommer's Mexico from $ a Day);Marita Adair;1996;"John Wiley &amp; Sons Inc"
28611659;10 Minute Guide to Paying for Grad School (10 Minute Guides);Ellen Lichtenstein;1997;Petersons
28611772;203 Ways to Be Supremely Successful in the New World of Selling;John R. Graham;1996;Macmillan General Reference
28611926;Arco 10 Minute Guide to Applying to Grad School (10 Minute Guides);Ellen Lichtenstein;1997;Petersons
28611934;The Family Reunion Planner;Donna  Beasley;1997;"John Wiley &amp; Sons"
28612302;Macbeth: A Shorter Shakespeare;William Shakespeare;1996;Macmillan General Reference
28612434;The Unofficial Guide to Atlanta (3rd ed. Serial.);Fred Brown;1996;"John Wiley &amp; Sons Inc"
28612574;The Naturally Sweet Baker : 150 Decadent Desserts Made With Honey, Maple Syrup, and Other Delicious Alternatives to Refined Sugar;Carrie Davis;1997;MacMillan Publishing Company.
28612671;Simply Heavenly!: The Monastery Vegetarian Cookbook;George Burke;1997;Hungry Minds, Inc
28612744;The Complete Idiot's Guide to Buying or Leasing a Car (Complete Idiot's Guide);Jack R. Nerad;1996;Alpha Books
28612787;The Complete Idiot's Guide to Living With a Cat (Complete Idiot's Guide);Carolyn Janik;1996;Macmillan Distribution
28612922;Flight of the Reindeer : The True Story of Santa Claus and his Christmas Mission;Robert  Sullivan;1996;"John Wiley &amp; Sons"
28613228;The New York Public Library American History Desk Reference (New York Public Library Series);Frommer;1997;MacMillan Publishing Company.
28613279;Tamales;Mark  Miller;1997;"John Wiley &amp; Sons"
28613406;Killing Time: The First Full Investigation into the Unsolved Murders of Nicole Brown Simpson and Ronald Goldman;Donald Freed;1996;Macmillan General Reference
28613430;The Complete Idiot's Guide to Getting Rich (Complete Idiot's Guide);Larry Waschka;1996;Macmillan Distribution
28614186;Harrap's Compact Spanish Dictionary: English/Spanish Spanish/English;Harrap's;1996;"John Wiley &amp; Sons"
28614216;Gods and Goddesses: A Treasury of Deities and Tales from World Mythology;Elizabeth Hallam;1996;Pub Overstock Unlimited Inc
28614275;Frommer's Las Vegas by Night;John Villani;1996;"John Wiley &amp; Sons Inc"
28614488;New York Public Library Book of Popular Americana;Tad Tuleja;1996;Macmillan General Reference
28614496;The Elements of Grammar;Margaret Shertzer;1996;Longman
28614518;The Elements of Editing;Arthur Plotnik;1996;MacMillan Publishing Company.
28615042;Better Sex (Man Alive (New York, N.Y.).);Sarah Brewer;1997;Macmillan General Reference
28615077;Organize Yourself!;Ronni  Eisenberg;1997;"John Wiley &amp; Sons"
28615107;The Storytellers: From Mel Allen to Bob Costas : Sixty Years of Baseball Tales from the Broadcast Booth;Curt Smith;1997;MacMillan Publishing Company.
28615689;Frommer's America's Best-Loved Driving Tours;Automobile Association;1997;MacMillan Publishing Company.
28615727;Frommers Greece from $50 a Day (7th Ed.);John Bozman;1997;"John Wiley &amp; Sons Inc"
28615735;"Frommer's Belgium, Holland &amp; Luxembourg (5th ed)";George McDonald;1997;"John Wiley &amp; Sons"
28615875;Nancy's Healthy Kitchen Baking Book;Nancy Fox;1997;Macmillan General Reference
28615883;"Vegetarian Times Low-Fat &amp; Fast : 150 Easy Meatless Recipes  (Vegetarian Times , No 1)";Maimonides;1996;"John Wiley &amp; Sons"
28615956;The Complete Idiot's Guide to Buying and Selling Collectibles (Complete Idiots Guide);Laurie Rozakis;1997;Macmillan Distribution
28615972;The Complete Idiot's Guide to Getting Along with Difficult People;Brandon Toropov;1997;Alpha Books
28615980;The Complete Idiot's Guide to Fishing Basics (Complete Idiot's Guide);Mike Toth;1997;Alpha Books
28615999;Finding Serenity in the Age of Anxiety;Robert Gerzon;1997;Macmillan General Reference
28616111;Healthy Heart Walking Book: A Complete Program for a Lifetime of Fitness;American Heart Assoc;1995;American Heart Association
28616340;The Complete Idiot's Guide to Classical Music;Robert Sherman;1997;Alpha Books
28616367;Frommer's China: The 50 Most Memorable Trips;J. D. Brown;1998;MacMillan Publishing Company.
28616375;Frommer's France '98;Darwin Porter;1997;"John Wiley &amp; Sons Inc"
28616405;Frommer's Alaska (1998ed);Charles P. Wohlforth;1998;"John Wiley &amp; Sons"
28616464;Frommer's Caribbean Cruises and Ports of Call '98;Darwin Porter;1997;"John Wiley &amp; Sons"
28616782;Encyclopedia Mysteriosa: A Comprehensive Guide to the Art of Detection in Print, Film, Radio, and Television;William L. Deandrea;1997;MacMillan Publishing Company.
28616901;The Best College Admission Essays;Mark Alan Stewart;1997;Arco Pub
28617177;The Complete Idiot's Guide to Beer (Complete Idiot's Guide);Stuart Kallen;1997;Alpha Books
28617258;Webster's New World Japanese Dictionary;Fujihiko  Kaneda;1997;Webster's New World
28617274;The Tea Companion;Jane Pettigrew;1997;"John Wiley &amp; Sons"
28617290;The Complete Idiot's Guide to the Perfect Marriage (Complete Idiot's Guide);Hillary Rich;1997;Alpha Books
28617347;The Complete Idiot's Guide to Creative Writing (Complete Idiot's Guide to);Laurie Rozakis;1997;Alpha Books
28617363;The Complete Idiot's Guide to Chess;Patrick Wolff;1997;Alpha Books
28617452;The Complete Idiot's Guide to Project Management (Complete Idiot's Guide);Sunny Baker;2000;"John Wiley &amp; Sons"
28617479;The Complete Idiot's Guide to Wills and Estates;Stephen M. Maple;1997;Alpha Books
28617525;The Complete Idiot's Guide to Finance and Accounting (Complete Idiot's Guide);Michael Muckian;1997;Alpha Books
28618696;Frommer's Paris from $70 a Day '98;Jeanne Oliver;1997;"John Wiley &amp; Sons Inc"
28618734;The Complete Idiot's Guide to Elvis (Complete Idiot's Guide to);Frank Coffey;1997;Macmillan Distribution
28618874;Webster's New World Pocket Dictionary;Webster;1997;"John Wiley &amp; Sons"
28618904;Webster's New World Dictionary of Computer Terms;Bryan Pfaffenberger;1997;Macmillan General Reference
28619404;"Weight Watchers&amp;reg; Simply the Best : 250 Prizewinning Family Recipes (Weight Watchers)";Weight Watchers;1997;"John Wiley &amp; Sons"
28619463;The Complete Idiot's Guide to Leadership;Andrew J. DuBrin;1997;Penguin Putnam
28619471;The Complete Idiot's Guide to Genealogy (Complete Idiot's Guide to...);Christine Rose;1997;Alpha Books
28619498;The Complete Idiot's Guide to Yoga (Complete Idiot's Guide to...);Joan Budilovsky;1997;Alpha Books
28619552;The Complete Idiot's Guide to Geography;Thomas E., Jr. Sherer;1997;Penguin Putnam
28619587;The Complete Idiot's Guide to Making Money on Wall Street (Complete Idiot's Guide to...);Christy Heady;1997;Alpha Books
28619633;The Complete Idiot's Guide to the Perfect Wedding (Complete Idiot's Guide to...);Teddy Lenderman;1997;Alpha Books
28619757;The Complete Idiot's Guide to Cigars (Complete Idiot's Guide to...);Tad Gage;1997;Alpha Books
28619811;The Complete Idiot's Guide to Philosophy (Complete Idiot's Guide to...);Jay Stevenson;1997;Alpha Books
28620089;No Strings Attached: The Inside Story of Jim Henson's Creature Factory;Matt Bacon;1997;Macmillan General Reference
28620100;Frommer's Washington, D.C. from $60 a Day (9th Ed);Elise Ford;1997;"John Wiley &amp; Sons Inc"
28620143;Pocket Idiot's Guide to Car Repair (Pocket Idiot's Guide);Dan Ramsey;1997;Alpha Books
28620178;"Frommer's Nova Scotia, New Brunswick &amp; Prince Edward Island (2nd Ed)";Wayne Curtis;1998;MacMillan Publishing Company.
28620283;Betty Crocker's New Choices Cookbook: More Than 500 Great Tasting Easy Recipes for Eating Right (Betty Crocker Home Library);Betty Crocker;1997;"John Wiley &amp; Sons Inc"
28620372;The Unofficial Guide to Las Vegas '98;Bob Sehlinger;1998;Macmillan General Reference
28620585;Is It Too Late to Run Away and Join the Circus?: Finding the Life You Really Want;Marti Diane Smye;1998;"John Wiley &amp; Sons Inc"
28620666;Betty Crocker's Best of Baking : More Than 350 of America's Favorite Recipes;Betty Crocker;1997;Betty Crocker
28620895;The Macmillan Atlas of the Future;Ian Pearson;1998;"John Wiley &amp; Sons"
28621069;Frommer's Toronto (5th Ed);Marilyn Wood;1998;"John Wiley &amp; Sons"
28621085;The Complete Idiot's Guide to Adoption (Complete Idiot's Guides);Christine A. Adamec;1998;Alpha Books
28621107;The Complete Idiot's Guide to Breaking Bad Habits (Complete Idiot's Guides);Suzanne Levert;1998;Macmillan Distribution
28621131;The Complete Idiot's Guide to Losing Weight (Complete Idiot's Guides);Susan McQuillan;1997;Macmillan Distribution
28621220;The Complete Idiot's Guide to the Civil War (Complete Idiot's Guides);Alan Axelrod;1998;Alpha Books
28621239;"The Complete Idiot's Guide to Knitting &amp; Crocheting";Gail Diven;1999;Alpha Books
28621255;The Complete Idiot's Guide to Learning Italian On Your Own;Gabrielle Euvino;1998;Alpha Books
28621395;Chuck Whitlock's Scam School;Charles R. Whitlock;1997;Hungry Minds
28621565;Webster's New World Dictionary of Quotations (Webster's New World);Auriel Douglas;1998;MacMillan Publishing Company.
28621573;Webster's New World Pocket Style Guide;John A.  Haslem;1998;Webster's New World
28621697;The New York Public Library Desk Reference;Macmillan Publishing;1998;MacMillan USA
28621905;Arco How to Write Articles for Newspapers and Magazines (Arco's Concise Writing Guides);Dawn B. Sova;1998;Arco Pub
28622014;Arco How to Write Short Stories (How to Write Short Stories, 3rd ed);Sharon Sorenson;1998;Arco Pub
28622049;Arco Everything You Need to Score High on the Ged: High School Equivalency Examination (Ged : High School Equivalency Examination, 15th ed);Seymour Barasch;1998;Arco Pub
28622170;The Lazy Gardener;Mara Grey;1998;MacMillan Publishing Company.
28622189;"Weight Watchers Coach Approach: How to Motivate the \Thin\"" You""";Weight Watchers;1997;"John Wiley &amp; Sons"
28622480;The First-Book Market: Where and How to Publish Your First Book and Make It a Success;Jason Shinder;1998;MacMillan Publishing Company.
28622499;The Unofficial Guide to San Francisco (1st ed);Joe Surkiewicz;1998;"John Wiley &amp; Sons Inc"
28622715;Frommer's Puerto Rico, 4th Edition;Darwin Porter;1998;Hungry Minds, Inc
28623002;Complete Idiots Guide to Planning Your Trip to Europe;Reid Bramblett;1998;Macmillan Distribution
28623029;Complete Idiots Guide to Cruise Vacations;Fran Wenograd Golden;1998;Macmillan Distribution
28623460;The Complete Idiot's Guide to British Royalty (Complete Idiot's Guides);Richard Buskin;1997;Macmillan Distribution
28623711;Frommer's New Mexico (Frommer's New Mexico, 5th ed);Lesley S. King;1999;Frommer's
28623886;The Complete Idiot's Guide to Learning  Sign Language;Susan Shelly;1998;Alpha Books
28623908;The Complete Idiot's Guide to Dinosaurs (Complete Idiot's Guides);Jay Stevenson;1998;Macmillan Distribution
28623916;The Complete Idiot's Guide to Beating the Blues (Complete Idiot's Guides);Ellen McGrath;1998;Macmillan Distribution
28623924;The Complete Idiot's Guide to Getting Published (Complete Idiot's Guides);Sheree Bykofsky;1998;Alpha Books
28623959;The Complete Idiot's Guide to Pro-Wrestling;Lou Albano;1998;Alpha Books
28624114;The Complete Idiot's Guide to Quilting (Complete Idiot's Guide to);Laura Ehrlich;1998;Alpha Books
28624173;The Complete Idiot's Travel Guide to Hawaii (Complete Idiot's Travel Guides);Cheryl Leas;1998;Macmillan Distribution
28624491;"Weight Watchers&amp;reg; New Complete Cookbook (Weight Watchers)";Weight Watchers;1998;"John Wiley &amp; Sons"
28624610;The Unofficial Guide to Buying a Home (The Unofficial Guide Series);Alan  Perlis;1998;"John Wiley &amp; Sons"
28625099;Arco You're Hired! Secrets to a Successful Job Search: Secrets to a Successful Job Search;Sharon McDonnell;1999;Arco Pub
28625218;The Unofficial Guide to Dieting Safely (Macmillan Lifestyles Guide.);Janis Jibrin;1998;MacMillan Publishing Company.
28625757;The Complete Illustrated Guide to Everything Sold in Hardware Stores;Steve Ettlinger;1998;"John Wiley &amp; Sons"
28625773;Frommer's California from $60 a Day (Frommer's California from $60 a Day, 2nd ed);Erika Lenkert;1999;MacMillan Publishing Company.
28626168;The Unofficial Guide to Walt Disney World 1999 (Serial);Bob Sehlinger;1998;"John Wiley &amp; Sons Inc"
28626354;Frommer's New York City With Kids, 6th Edition;Holly Hughs;1998;Hungry Minds, Inc
